,seq,time_nsecs,time_secs
0,53,0.677938845,1576825180
1,54,0.7579388450000001,1576825180
2,55,0.837938845,1576825180
3,56,0.917938845,1576825180
4,57,0.9979388450000001,1576825180
5,58,0.077938845,1576825181
6,59,0.15793884500000002,1576825181
7,60,0.237938845,1576825181
8,61,0.317938845,1576825181
9,62,0.39793884500000004,1576825181
10,63,0.47793884500000006,1576825181
11,64,0.557938845,1576825181
12,65,0.6379388450000001,1576825181
13,66,0.717938845,1576825181
14,67,0.797938845,1576825181
15,68,0.8779388450000001,1576825181
16,69,0.957938845,1576825181
17,70,0.037938845000000006,1576825182
18,71,0.11693884500000001,1576825182
19,72,0.196938845,1576825182
20,73,0.27693884500000004,1576825182
21,74,0.356938845,1576825182
22,75,0.436938845,1576825182
23,76,0.516938845,1576825182
24,77,0.596938845,1576825182
25,78,0.676938845,1576825182
26,79,0.7569388450000001,1576825182
27,80,0.836938845,1576825182
28,81,0.916938845,1576825182
29,82,0.9969388450000001,1576825182
30,83,0.076938845,1576825183
31,84,0.15693884500000002,1576825183
32,85,0.236938845,1576825183
33,86,0.316938845,1576825183
34,87,0.39693884500000004,1576825183
35,88,0.47693884500000006,1576825183
36,89,0.556938845,1576825183
37,90,0.6369388450000001,1576825183
38,91,0.716938845,1576825183
39,92,0.796938845,1576825183
40,93,0.8769388450000001,1576825183
41,94,0.956938845,1576825183
42,95,0.036938845000000005,1576825184
43,96,0.11593884500000001,1576825184
44,97,0.195938845,1576825184
45,98,0.27593884500000004,1576825184
46,99,0.355938845,1576825184
47,100,0.435938845,1576825184
48,101,0.515938845,1576825184
49,102,0.595938845,1576825184
50,103,0.675938845,1576825184
51,104,0.7559388450000001,1576825184
52,105,0.835938845,1576825184
53,106,0.9159388450000001,1576825184
54,107,0.9959388450000001,1576825184
55,108,0.075938845,1576825185
56,109,0.15593884500000002,1576825185
57,110,0.235938845,1576825185
58,111,0.315938845,1576825185
59,112,0.39593884500000004,1576825185
60,113,0.47593884500000005,1576825185
61,114,0.555938845,1576825185
62,115,0.6359388450000001,1576825185
63,116,0.715938845,1576825185
64,117,0.795938845,1576825185
65,118,0.8759388450000001,1576825185
66,119,0.955938845,1576825185
67,120,0.034938845,1576825186
68,121,0.11493884500000001,1576825186
69,122,0.194938845,1576825186
70,123,0.27493884500000004,1576825186
71,124,0.354938845,1576825186
72,125,0.434938845,1576825186
73,126,0.514938845,1576825186
74,127,0.594938845,1576825186
75,128,0.674938845,1576825186
76,129,0.7549388450000001,1576825186
77,130,0.834938845,1576825186
78,131,0.9149388450000001,1576825186
79,132,0.9949388450000001,1576825186
80,133,0.074938845,1576825187
81,134,0.15493884500000002,1576825187
82,135,0.234938845,1576825187
83,136,0.314938845,1576825187
84,137,0.39493884500000004,1576825187
85,138,0.47493884500000005,1576825187
86,139,0.554938845,1576825187
87,140,0.6349388450000001,1576825187
88,141,0.714938845,1576825187
89,142,0.794938845,1576825187
90,143,0.8749388450000001,1576825187
91,144,0.954938845,1576825187
92,145,0.033938845,1576825188
93,146,0.11393884500000001,1576825188
94,147,0.193938845,1576825188
95,148,0.27393884500000004,1576825188
96,149,0.353938845,1576825188
97,150,0.433938845,1576825188
98,151,0.513938845,1576825188
99,152,0.593938845,1576825188
100,153,0.673938845,1576825188
101,154,0.7539388450000001,1576825188
102,155,0.833938845,1576825188
103,156,0.9139388450000001,1576825188
104,157,0.9939388450000001,1576825188
105,158,0.073938845,1576825189
106,159,0.15393884500000002,1576825189
107,160,0.233938845,1576825189
108,161,0.313938845,1576825189
109,162,0.39393884500000004,1576825189
110,163,0.47393884500000005,1576825189
111,164,0.553938845,1576825189
112,165,0.6339388450000001,1576825189
113,166,0.713938845,1576825189
114,167,0.793938845,1576825189
115,168,0.8739388450000001,1576825189
116,169,0.953938845,1576825189
117,170,0.032938845,1576825190
118,171,0.11293884500000001,1576825190
119,172,0.19293884500000003,1576825190
120,173,0.27293884500000004,1576825190
121,174,0.352938845,1576825190
122,175,0.432938845,1576825190
123,176,0.512938845,1576825190
124,177,0.592938845,1576825190
125,178,0.672938845,1576825190
126,179,0.7529388450000001,1576825190
127,180,0.832938845,1576825190
128,181,0.9129388450000001,1576825190
129,182,0.9929388450000001,1576825190
130,183,0.072938845,1576825191
131,184,0.15293884500000002,1576825191
132,185,0.232938845,1576825191
133,186,0.312938845,1576825191
134,187,0.39293884500000004,1576825191
135,188,0.47293884500000005,1576825191
136,189,0.552938845,1576825191
137,190,0.6329388450000001,1576825191
138,191,0.712938845,1576825191
139,192,0.792938845,1576825191
140,193,0.8729388450000001,1576825191
141,194,0.951938845,1576825191
142,195,0.031938845,1576825192
143,196,0.11193884500000001,1576825192
144,197,0.19193884500000002,1576825192
145,198,0.27193884500000004,1576825192
146,199,0.351938845,1576825192
147,200,0.431938845,1576825192
148,201,0.5119388450000001,1576825192
149,202,0.591938845,1576825192
150,203,0.671938845,1576825192
151,204,0.7519388450000001,1576825192
152,205,0.831938845,1576825192
153,206,0.9119388450000001,1576825192
154,207,0.9919388450000001,1576825192
155,208,0.071938845,1576825193
156,209,0.15193884500000002,1576825193
157,210,0.231938845,1576825193
158,211,0.311938845,1576825193
159,212,0.39193884500000004,1576825193
160,213,0.47193884500000005,1576825193
161,214,0.551938845,1576825193
162,215,0.6319388450000001,1576825193
163,216,0.711938845,1576825193
164,217,0.791938845,1576825193
165,218,0.8719388450000001,1576825193
166,219,0.950938845,1576825193
167,220,0.030938845000000003,1576825194
168,221,0.11093884500000001,1576825194
169,222,0.19093884500000002,1576825194
