,alt,lat,lon,seq,stddev,time_nsecs,time_secs,x,y,z
0,14.70361687708646,31.35673486187543,121.22717446217865,1,"[0.011967738159000874, 0.0, 0.0, 0.0, 0.014085253700613976, 0.0, 0.0, 0.0, 0.04760666564106941]",0.808875942,1576825181,0.0,0.0,0.0
1,14.703316985629499,31.356734865379938,121.22717446077677,2,"[0.012066765688359737, 0.0, 0.0, 0.0, 0.014201132580637932, 0.0, 0.0, 0.0, 0.04801224544644356]",0.9088759420000001,1576825181,-0.00012710411101579666,0.00039064185693860054,-0.0002998914569616318
2,14.703017527237535,31.356734868728882,121.227174457629,3,"[0.012164987623691559, 0.0, 0.0, 0.0, 0.014316070824861526, 0.0, 0.0, 0.0, 0.04841441661119461]",0.008875942000000001,1576825182,-0.00042057037353515625,0.0007667145691812038,-0.0005993498489260674
3,14.69852015376091,31.356734847910168,121.22717445970339,4,"[0.012416306883096695, 0.0, 0.0, 0.0, 0.01455184817314148, 0.0, 0.0, 0.0, 0.048868294805288315]",0.108875942,1576825182,-0.0002604055916890502,-0.001544338185340166,-0.005096723325550556
4,14.701615756377578,31.356734834277834,121.22717447341347,5,"[0.011372045613825321, 0.0, 0.0, 0.0, 0.01337456051260233, 0.0, 0.0, 0.0, 0.04512505233287811]",0.208875942,1576825182,0.0010194918140769005,-0.0030765668489038944,-0.0020011207088828087
5,14.70333504397422,31.356734811473086,121.22717444740411,6,"[0.011476217769086361, 0.0, 0.0, 0.0, 0.01349653024226427, 0.0, 0.0, 0.0, 0.045552682131528854]",0.30887594100000004,1576825182,-0.0014954913640394807,-0.005564753897488117,-0.00028183311223983765
6,14.726863294839859,31.35673482574669,121.22717441656418,7,"[0.010456397198140621, 0.0, 0.0, 0.0, 0.012330957688391209, 0.0, 0.0, 0.0, 0.04144437611103058]",0.40887594200000005,1576825182,-0.004403804545290768,-0.003935190383344889,0.02324641775339842
7,14.70517196599394,31.356734793266806,121.22717443407961,8,"[0.010569600388407707, 0.0, 0.0, 0.0, 0.01246313750743866, 0.0, 0.0, 0.0, 0.041909556835889816]",0.5088759420000001,1576825182,-0.0027955546393059194,-0.007562609389424324,0.0015550889074802399
8,14.714775769039989,31.356734778183675,121.22717440742471,9,"[0.010681604966521263, 0.0, 0.0, 0.0, 0.01259392686188221, 0.0, 0.0, 0.0, 0.04236961901187897]",0.6088759410000001,1576825182,-0.005358162277843803,-0.00919382181018591,0.011158891953527927
9,14.718432222492993,31.356734811256185,121.22717442977722,10,"[0.010792448185384274, 0.0, 0.0, 0.0, 0.012723367661237717, 0.0, 0.0, 0.0, 0.042824722826480865]",0.708875942,1576825182,-0.0031727220048196614,-0.005561791826039553,0.014815345406532288
10,14.727002043277025,31.356734813262285,121.2271744156718,11,"[0.010902165435254574, 0.0, 0.0, 0.0, 0.012851502746343613, 0.0, 0.0, 0.0, 0.04327503219246864]",0.808875942,1576825182,-0.00451098766643554,-0.005317790433764458,0.023385166190564632
11,14.721256949938834,31.356734762091996,121.22717441987122,12,"[0.011010791175067425, 0.0, 0.0, 0.0, 0.012978368438780308, 0.0, 0.0, 0.0, 0.04372068867087364]",0.9088759420000001,1576825182,-0.004202859243378043,-0.010996746830642223,0.017640072852373123
12,14.72428228519857,31.35673479008131,121.22717440560226,13,"[0.011118356138467789, 0.0, 0.0, 0.0, 0.013104003854095936, 0.0, 0.0, 0.0, 0.0441618375480175]",0.008875942000000001,1576825183,-0.005510289687663317,-0.007872108370065689,0.020665408112108707
13,14.738548665307462,31.356734822150397,121.22717439606737,14,"[0.011224891990423203, 0.0, 0.0, 0.0, 0.013228441588580608, 0.0, 0.0, 0.0, 0.04459860920906067]",0.108875942,1576825183,-0.006360084982588887,-0.004302455112338066,0.034931788221001625
14,14.731576841324568,31.35673480249064,121.227174397313,15,"[0.011330426670610905, 0.0, 0.0, 0.0, 0.01335171703249216, 0.0, 0.0, 0.0, 0.04503113403916359]",0.208875942,1576825183,-0.006276689819060266,-0.006483760662376881,0.027959964238107204
15,14.723672902211547,31.356734777031537,121.22717443222864,16,"[0.011434988118708134, 0.0, 0.0, 0.0, 0.01347386185079813, 0.0, 0.0, 0.0, 0.04545953497290611]",0.30887594100000004,1576825183,-0.003000625525601208,-0.009359547402709723,0.020056025125086308
16,14.727937441319227,31.356734783413824,121.22717441912707,17,"[0.011538603343069553, 0.0, 0.0, 0.0, 0.013594905845820904, 0.0, 0.0, 0.0, 0.045883920043706894]",0.40887594200000005,1576825183,-0.004235580679960549,-0.008631959091871977,0.02432056423276663
17,14.729513013735414,31.356734778966214,121.2271744075742,18,"[0.011641295626759529, 0.0, 0.0, 0.0, 0.013714877888560295, 0.0, 0.0, 0.0, 0.04630440101027489]",0.5088759420000001,1576825183,-0.00534254452213645,-0.009107302408665419,0.02589613664895296
18,14.72100480645895,31.356734788076448,121.22717444773005,19,"[0.010676594451069832, 0.0, 0.0, 0.0, 0.012582285329699516, 0.0, 0.0, 0.0, 0.04228811711072922]",0.6088759420000001,1576825183,-0.0015062581514939666,-0.008158905431628227,0.017387929372489452
19,14.730803065933287,31.35673480658783,121.22717443628333,20,"[0.010787497274577618, 0.0, 0.0, 0.0, 0.012711811810731888, 0.0, 0.0, 0.0, 0.04274395853281021]",0.708875942,1576825183,-0.002562131150625646,-0.00608927384018898,0.027186188846826553
