timestamp,roll,pitch,yaw,gt_roll,gt_pitch,gt_yaw,x,y,z,gt_x,gt_y,gt_z,wx,wy,wz,ax,ay,az,
0.518876,0.00228011,-0.00111517,-65.0588,0,0,-65.0983,29.4182,10.6963,-0.0716944,29.4052,10.6902,-0.0711993,0.00808518,-0.00405885,0.0227505,-0.21955,0.466909,9.39451,
0.523876,0.00457425,-0.00231833,-65.0524,0,0,-65.0983,29.4312,10.7023,-0.0721987,29.4052,10.6902,-0.0711993,0.0079323,-0.00433814,0.0222429,-0.075046,0.614375,9.53134,
0.528876,0.00694082,-0.00359903,-65.046,0,0,-65.0983,29.4442,10.7084,-0.0727108,29.4052,10.6902,-0.0711993,0.00859179,-0.00459831,0.0224135,0.0132248,0.742879,9.52642,
0.533876,0.00946562,-0.004873,-65.0395,0,0,-65.0983,29.4572,10.7144,-0.0732309,29.4052,10.6902,-0.0711993,0.00903804,-0.00428919,0.0228953,0.0730902,0.734758,9.38488,
0.538876,0.0120431,-0.00611636,-65.0328,0,0,-65.0983,29.4702,10.7205,-0.0737618,29.4052,10.6902,-0.0711993,0.00896059,-0.00438239,0.0236578,0.294801,0.68184,9.20601,
0.543876,0.014533,-0.00723164,-65.026,0,0,-65.0983,29.4833,10.7265,-0.074305,29.4052,10.6902,-0.0711993,0.00842784,-0.00339266,0.024048,0.386853,0.711754,9.48129,
0.548876,0.0171139,-0.00814572,-65.0191,0,0,-65.0983,29.4964,10.7326,-0.0748558,29.4052,10.6902,-0.0711993,0.00959627,-0.00297558,0.0239753,0.395458,0.576563,9.84918,
0.553876,0.0198777,-0.00888859,-65.0122,0,0,-65.0983,29.5095,10.7386,-0.0754071,29.4052,10.6902,-0.0711993,0.00970624,-0.00219505,0.0242026,0.194833,0.517871,9.99378,
0.558876,0.0225734,-0.00956703,-65.0052,0,0,-65.0983,29.5226,10.7447,-0.0759557,29.4052,10.6902,-0.0711993,0.00912085,-0.00252329,0.0246079,0.0759773,0.420231,9.81491,
0.563876,0.0251058,-0.0100599,-64.9982,0,0,-65.8893,29.5357,10.7508,-0.076503,29.6648,10.8107,-0.0810023,0.00856731,-0.000896864,0.0245912,0.196621,0.574663,9.8289,
0.568876,0.0276628,-0.0103591,-64.9912,0,0,-65.8893,29.5489,10.7568,-0.07705,29.6648,10.8107,-0.0810023,0.00929251,-0.00116978,0.0243079,0.158828,0.630487,9.81731,
0.573876,0.0303277,-0.0106794,-64.9841,0,0,-65.8893,29.562,10.7629,-0.077597,29.6648,10.8107,-0.0810023,0.00932101,-0.0010417,0.0248611,0.205301,0.671782,9.78734,
0.578876,0.0328811,-0.0109396,-64.9768,0,0,-65.8893,29.5752,10.769,-0.0781436,29.6648,10.8107,-0.0810023,0.00851467,-0.00074666,0.0261639,0.192244,0.588819,9.89377,
0.583876,0.0354818,-0.0112657,-64.9692,0,0,-65.8893,29.5884,10.775,-0.0786881,29.6648,10.8107,-0.0810023,0.00965226,-0.00149835,0.0266803,0.416636,0.620522,10.0115,
0.588876,0.0383593,-0.0118472,-64.9617,0,0,-65.8893,29.6016,10.7811,-0.0792276,29.6648,10.8107,-0.0810023,0.0104469,-0.00252731,0.0259997,0.253189,0.583809,10.1059,
0.593876,0.041366,-0.0125497,-64.9543,0,0,-65.8893,29.6148,10.7872,-0.0797603,29.6648,10.8107,-0.0810023,0.0105548,-0.00234056,0.0256647,0.157692,0.629611,10.1133,
0.598876,0.0441921,-0.0132003,-64.9468,0,0,-65.8893,29.628,10.7932,-0.0802855,29.6648,10.8107,-0.0810023,0.0091869,-0.0021632,0.0264814,0.104494,0.572633,10.1047,
0.603876,0.0467275,-0.0138243,-64.9391,0,0,-65.8893,29.6413,10.7993,-0.0808035,29.6648,10.8107,-0.0810023,0.00852641,-0.00215013,0.0270953,0.0138395,0.688601,10.068,
